Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2011-02-22,4276.6,4673.6,4276.6,4457.0,832879,VND,397.0,-180.39999999999964,4725.128571428571,4980.328571428572,5310.295238095238,201.35283885330384,569.3492183855102
2011-02-23,4637.5,4673.6,4511.2,4511.2,376764,VND,162.40000000000055,126.30000000000018,4663.257142857143,4921.042857142857,5256.161904761904,188.9402891316241,589.3276070881047
2011-02-24,4421.0,4601.4,4366.8,4601.4,411430,VND,234.59999999999945,-180.39999999999964,4622.0142857142855,4863.042857142857,5193.433333333333,160.54719377357625,585.3744377177181
2011-02-25,4475.1,4655.5,4475.1,4655.5,367046,VND,180.39999999999964,-180.39999999999964,4591.071428571428,4817.928571428572,5119.533333333333,120.0892822623421,547.7144834065784
2011-02-28,4745.8,4745.8,4475.1,4511.2,712701,VND,270.6999999999998,234.60000000000036,4554.985714285714,4761.221428571429,5026.733333333333,94.83112057004362,468.6252781629854
2011-03-01,4457.0,4511.2,4421.0,4511.2,157348,VND,90.19999999999982,-54.19999999999982,4529.214285714285,4714.821428571428,4948.5428571428565,73.66841088216448,403.7729393748807
2011-03-02,4511.2,4511.2,4294.6,4312.7,758488,VND,216.59999999999945,198.5,4508.6,4652.957142857143,4875.504761904762,108.97331477628785,370.5802888392654
2011-03-03,4132.2,4312.7,4132.2,4222.5,932768,VND,180.5,-90.30000000000018,4475.1,4600.114285714286,4811.919047619047,154.15684653407968,362.1172070187369
2011-03-04,4240.5,4240.5,4132.2,4132.2,260594,VND,108.30000000000018,108.30000000000018,4420.957142857143,4542.107142857143,4754.347619047619,199.30841140589425,369.78731944058194
2011-03-07,3987.9,4330.7,3987.9,4330.7,174330,VND,342.7999999999997,-342.7999999999997,4382.285714285714,4502.15,4702.7904761904765,184.1473271465985,348.1493629245434
2011-03-08,4330.7,4421.0,4222.5,4222.5,197675,VND,198.5,108.19999999999982,4320.428571428572,4455.75,4652.0952380952385,145.80964433449032,336.1138757567056
2011-03-09,4222.5,4222.5,4114.2,4114.2,295660,VND,108.30000000000018,108.30000000000018,4263.714285714285,4409.35,4595.385714285714,136.12716393836624,320.533262370254
2011-03-10,4150.3,4240.5,4150.3,4150.3,713202,VND,90.19999999999982,0.0,4212.157142857142,4370.685714285714,4547.266666666667,85.81984729929395,306.9702857498382
2011-03-11,4330.7,4348.8,4330.7,4348.8,1581798,VND,18.100000000000364,-18.100000000000364,4217.314285714286,4362.957142857143,4507.742857142857,93.60066646078288,273.16341550696836
2011-03-14,4457.0,4457.0,4330.7,4366.8,1999490,VND,126.30000000000018,90.19999999999982,4237.928571428572,4356.5142857142855,4479.385714285714,109.47675117401438,253.84257382424727
2011-03-15,4366.8,4421.0,4348.8,4348.8,1167463,VND,72.19999999999982,18.0,4268.871428571429,4344.914285714286,4451.028571428571,105.13695376801208,231.59681591693212
2011-03-16,4348.8,4366.8,4150.3,4150.3,217963,VND,216.5,198.5,4243.1,4312.692857142857,4415.8,109.47596387639014,217.29398979264084
2011-03-17,4150.3,4294.6,4150.3,4168.3,1114613,VND,144.30000000000018,-18.0,4235.357142857143,4277.892857142857,4382.285714285715,113.03460911216908,196.69681818910726
2011-03-18,4168.3,4258.6,4150.3,4150.3,816898,VND,108.30000000000018,18.0,4240.514285714286,4252.114285714286,4353.071428571428,107.2616959989419,182.2270593047633
2011-03-21,4348.8,4348.8,4258.6,4348.8,1855016,VND,90.19999999999982,0.0,4268.871428571429,4240.5142857142855,4336.74761904762,105.66354960100367,164.91738422329
2011-03-22,4565.3,4565.3,4475.1,4565.3,2276315,VND,90.19999999999982,0.0,4299.8,4258.557142857143,4341.9047619047615,153.71727293963457,170.46581908463375
2011-03-23,4565.3,4691.6,4457.0,4547.3,1325112,VND,234.60000000000036,18.0,4325.585714285714,4281.757142857143,4346.204761904762,179.76230999638463,174.6029652560204
2011-03-24,4583.4,4601.4,4511.2,4565.3,1068425,VND,90.19999999999982,18.099999999999454,4356.514285714286,4312.692857142857,4348.780952380953,201.70726667269503,177.53363517669607
2011-03-25,4493.1,4547.3,4402.9,4421.0,865240,VND,144.40000000000055,72.10000000000036,4395.185714285714,4319.142857142857,4340.190476190476,180.40724697722968,168.85101688993925
2011-03-28,4511.2,4565.3,4439.0,4529.2,1103692,VND,126.30000000000018,-18.0,4446.742857142856,4341.05,4334.176190476191,154.46487040901786,159.02173091991727
2011-03-29,4493.1,4655.5,4493.1,4601.4,2187396,VND,162.39999999999964,-108.29999999999927,4511.185714285714,4375.85,4338.471428571428,91.40265183189929,165.14265391733832
2011-03-30,4529.2,4619.4,4529.2,4583.4,686251,VND,90.19999999999982,-54.19999999999982,4544.7,4406.785714285715,4341.909523809524,59.31554040327075,169.60963093163815
