Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2020-07-22,80000.0,80889.0,79822.0,79822.0,227374,VND,1067.0,178.0,80825.57142857143,80863.71428571429,80935.57142857143,978.7929398231679,1213.181625785254
2020-07-23,80000.0,80267.0,79556.0,80000.0,204390,VND,711.0,0.0,80660.42857142857,80851.0,80736.61904761905,1010.7500279731353,973.830605197409
2020-07-24,79911.0,80000.0,74667.0,78222.0,758734,VND,5333.0,1689.0,80342.85714285714,80635.07142857143,80508.04761904762,1373.7574298945847,973.9127515435665
2020-07-27,74578.0,76445.0,73689.0,75556.0,928215,VND,2756.0,-978.0,79327.0,80254.14285714286,80232.95238095238,1897.8873342044033,1435.6727508799386
2020-07-28,75556.0,77333.0,71022.0,75733.0,601087,VND,6311.0,-177.0,78527.0,79898.57142857143,80072.09523809524,2082.652875541245,1727.2889713294408
2020-07-29,74667.0,75556.0,73778.0,74222.0,426791,VND,1778.0,445.0,77676.14285714286,79422.35714285714,79839.28571428571,2475.351047735268,2142.804800789341
2020-07-30,74222.0,76000.0,74222.0,75645.0,272284,VND,1778.0,-1423.0,77028.57142857143,79022.35714285714,79589.57142857143,2298.368541461807,2313.1459005309193
2020-07-31,74667.0,80000.0,74489.0,77778.0,1056420,VND,5511.0,-3111.0,76736.57142857143,78781.07142857143,79488.0,1994.0135286354755,2344.9381868186097
2020-08-03,75556.0,78311.0,75556.0,77867.0,184849,VND,2755.0,-2311.0,76431.85714285714,78546.14285714286,79377.95238095238,1518.4689030481268,2365.07846542545
2020-08-04,78845.0,78845.0,77689.0,78222.0,257884,VND,1156.0,623.0,76431.85714285714,78387.35714285714,79234.0,1518.4689030481268,2337.596137060498
2020-08-05,78222.0,78667.0,75378.0,77333.0,488801,VND,3289.0,889.0,76685.71428571429,78006.35714285714,79064.66666666667,1496.012223021228,2340.5099942819106
2020-08-06,78222.0,78400.0,77422.0,77778.0,373882,VND,978.0,444.0,76977.85714285714,77752.42857142857,78925.0,1478.5300615332292,2324.8139280381524
2020-08-07,77867.0,78400.0,77600.0,77778.0,205312,VND,800.0,89.0,77485.85714285714,77581.0,78776.85714285714,851.99167221521,2292.298372501194
2020-08-10,78222.0,79911.0,77689.0,78400.0,610369,VND,2222.0,-178.0,77879.42857142857,77454.0,78641.38095238095,345.917069610391,2222.132972533203
2020-08-11,79289.0,79289.0,77778.0,77778.0,242246,VND,1511.0,1511.0,77879.42857142857,77308.0,78480.52380952382,345.917069610391,2152.1645062366797
2020-08-12,77778.0,78667.0,77689.0,77689.0,340121,VND,978.0,89.0,77854.0,77142.92857142857,78315.42857142857,353.44353627355645,2067.9965321883583
2020-08-13,78667.0,79111.0,77778.0,78222.0,516015,VND,1333.0,445.0,77854.0,77142.92857142857,78209.57142857143,353.44353627355645,2009.608508427221
2020-08-14,78222.0,79111.0,77689.0,77689.0,735829,VND,1422.0,533.0,77904.85714285714,77295.28571428571,77972.52380952382,284.95989692825395,1731.947303443438
2020-08-17,77333.0,78667.0,77156.0,77956.0,423225,VND,1511.0,-623.0,77930.28571428571,77454.07142857143,77811.71428571429,279.6454387770106,1551.7288468949582
2020-08-18,77600.0,77956.0,76622.0,76889.0,869254,VND,1334.0,711.0,77803.28571428571,77644.57142857143,77655.09523809524,486.03693765200205,1464.4832161812046
2020-08-19,76889.0,77867.0,76889.0,76889.0,390532,VND,978.0,0.0,77587.42857142857,77733.42857142857,77498.47619047618,511.7098322108065,1352.7925790397542
2020-08-20,76978.0,77511.0,76445.0,76445.0,1113997,VND,1066.0,533.0,77397.0,77638.21428571429,77337.66666666667,656.5142801190877,1260.336277877302
2020-08-21,76445.0,77245.0,76356.0,76533.0,423889,VND,889.0,-88.0,77231.85714285714,77542.92857142857,77172.57142857143,713.7218012111696,1112.5653945468316
2020-08-24,76889.0,79111.0,76889.0,79111.0,1184445,VND,2222.0,-2222.0,77358.85714285714,77606.42857142857,77214.90476190476,956.9295391288912,1169.927472314621
2020-08-25,79111.0,81689.0,79111.0,80889.0,1208992,VND,2578.0,-1778.0,77816.0,77860.42857142857,77468.85714285714,1652.4901411708615,1355.8629829638755
2020-08-26,80711.0,81067.0,80000.0,80889.0,615690,VND,1067.0,-178.0,78235.0,78082.64285714286,77714.38095238095,2023.9871541094753,1486.3637669222494
2020-08-27,80089.0,80889.0,80089.0,80889.0,492694,VND,800.0,-800.0,78806.42857142857,78304.85714285714,78031.85714285714,2141.8617180032224,1413.3367003554577
2020-08-28,81156.0,82045.0,79911.0,79911.0,715522,VND,2134.0,1245.0,79238.14285714286,78412.78571428571,78235.0,1990.1563949073254,1358.6371112258807
2020-08-31,80000.0,81333.0,80000.0,80000.0,311152,VND,1333.0,0.0,79746.0,78571.5,78340.80952380953,1567.252479128144,1406.9321809898863
2020-09-01,80178.0,83556.0,79911.0,82400.0,759724,VND,3645.0,-2222.0,80584.14285714286,78908.0,78556.66666666667,1044.0821213823838,1656.2489949683018
2020-09-03,83111.0,84978.0,82400.0,84000.0,1166715,VND,2578.0,-889.0,81282.57142857143,79320.71428571429,78831.80952380953,1450.5147198083612,2034.5922839490252
2020-09-04,84000.0,84889.0,82933.0,83556.0,929205,VND,1956.0,444.0,81663.57142857143,79739.78571428571,79128.14285714286,1664.402280814552,2247.429404580164
2020-09-07,83556.0,84711.0,81333.0,81333.0,523575,VND,3378.0,2223.0,81727.0,79981.0,79297.42857142857,1638.2187481122262,2274.373288873875
2020-09-08,81422.0,82222.0,80445.0,80445.0,700076,VND,1777.0,977.0,81663.57142857143,80235.0,79424.42857142857,1684.0270046470994,2259.7015858610525
2020-09-09,80356.0,82133.0,79467.0,80445.0,974115,VND,2666.0,-89.0,81739.85714285714,80489.0,79521.80952380953,1601.4761345469785,2257.409945469554
2020-09-10,80889.0,82222.0,80445.0,80445.0,473805,VND,1777.0,444.0,81803.42857142857,80774.71428571429,79648.80952380953,1528.0498309001566,2229.2453121863564
2020-09-11,80000.0,82045.0,79911.0,80978.0,462769,VND,2134.0,-978.0,81600.28571428571,81092.21428571429,79805.42857142857,1530.0426698064036,2200.016672014767
2020-09-14,81156.0,83200.0,81067.0,82756.0,685046,VND,2133.0,-1600.0,81422.57142857143,81352.57142857143,80021.33333333333,1251.80893871524,2258.552419877252
2020-09-15,82845.0,84445.0,82845.0,84445.0,1106505,VND,1600.0,-1600.0,81549.57142857143,81606.57142857143,80343.04761904762,1520.5704913115198,2387.223564649754
2020-09-16,84356.0,84889.0,82756.0,84889.0,612337,VND,2133.0,-533.0,82057.57142857143,81892.28571428571,80673.19047619047,1965.1649512735428,2516.500876595269
2020-09-17,82756.0,84889.0,82667.0,83556.0,938104,VND,2222.0,-800.0,82502.0,82082.78571428571,80990.66666666667,1890.040740301541,2434.434355930201
2020-09-18,84445.0,84800.0,83111.0,83556.0,1225474,VND,1689.0,889.0,82946.42857142857,82343.14285714286,81308.14285714286,1679.8101933593043,2304.018929733728
2020-09-21,83556.0,85333.0,83556.0,85333.0,643342,VND,1777.0,-1777.0,83644.71428571429,82724.07142857143,81731.38095238095,1469.4631348765947,2178.9635259955417
2020-09-22,85333.0,85511.0,84089.0,84089.0,568384,VND,1422.0,1244.0,84089.14285714286,82844.71428571429,82091.19047619047,881.2244187435194,1881.144907205342
2020-09-23,84445.0,85067.0,84000.0,84000.0,125809,VND,1067.0,445.0,84266.85714285714,82844.71428571429,82324.0,666.9506299993211,1794.4070887064079
2020-09-24,83378.0,84889.0,82667.0,82667.0,437557,VND,2222.0,711.0,84012.85714285714,82781.21428571429,82408.66666666667,889.3007418883691,1765.0187345558488
2020-09-25,84000.0,84267.0,82489.0,82489.0,463736,VND,1778.0,1511.0,83670.0,82863.78571428571,82484.85714285714,955.4049752152846,1730.3321151071598
2020-09-28,82667.0,83733.0,82489.0,82489.0,228195,VND,1244.0,178.0,83517.57142857143,83009.78571428571,82561.04761904762,1056.4023629188036,1691.3358175178662
2020-09-29,83556.0,83556.0,81333.0,81333.0,443801,VND,2223.0,2223.0,83200.0,83073.21428571429,82628.76190476191,1339.2056103026907,1606.2595651002255
2020-09-30,81333.0,83022.0,81333.0,81333.0,469530,VND,1689.0,0.0,82628.57142857143,83136.64285714286,82692.23809523809,1111.3891993269451,1521.272359071826
2020-10-01,81689.0,83022.0,81689.0,82222.0,239074,VND,1333.0,-533.0,82361.85714285714,83225.5,82683.76190476191,907.892142744295,1523.4763504813457
2020-10-02,82222.0,83556.0,81778.0,83556.0,450866,VND,1778.0,-1334.0,82298.42857142857,83282.64285714286,82662.61904761905,781.0155476774985,1507.2911621909086
2020-10-05,83556.0,83556.0,81778.0,82933.0,101756,VND,1778.0,623.0,82336.42857142857,83174.64285714286,82632.95238095238,807.943862971913,1494.908474662855
2020-10-06,82933.0,82933.0,81600.0,81600.0,586339,VND,1333.0,1333.0,82209.42857142857,82939.71428571429,82645.66666666667,848.8016763143181,1484.3979699976376
2020-10-07,81333.0,83111.0,80889.0,82222.0,429210,VND,2222.0,-889.0,82171.28571428571,82844.42857142857,82730.28571428571,840.0991438088056,1400.9806973279385
2020-10-08,81778.0,82578.0,81333.0,82045.0,244114,VND,1245.0,-267.0,82273.0,82736.5,82806.47619047618,761.0742407936955,1311.1086766185756
2020-10-09,82045.0,83289.0,82045.0,83200.0,348277,VND,1244.0,-1155.0,82539.71428571429,82584.14285714286,82937.66666666667,701.5669876033907,1195.7629503095775
2020-10-12,83200.0,83556.0,82222.0,83467.0,367076,VND,1334.0,-267.0,82717.57142857143,82539.71428571429,83056.19047619047,762.7430447933192,1112.2471676315809
