Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-06-24,11100.0,11100.0,9800.0,10400.0,39600,VND,1300.0,700.0,10871.42857142857,11235.714285714286,11638.095238095239,256.34797778458585,730.394544391027
2016-06-27,10000.0,10900.0,9800.0,9800.0,12300,VND,1100.0,200.0,10671.42857142857,11092.857142857143,11509.52380952381,438.6125310349787,804.9253144887089
2016-06-28,10300.0,10300.0,9700.0,10300.0,8800,VND,600.0,0.0,10585.714285714286,10971.42857142857,11400.0,445.07891221130075,805.6053624449036
2016-06-29,10200.0,10300.0,9700.0,10100.0,25300,VND,600.0,100.0,10500.0,10842.857142857143,11280.952380952382,476.0952285694767,804.1262634804511
2016-06-30,9700.0,9800.0,9000.0,9800.0,30000,VND,800.0,-100.0,10328.57142857143,10707.142857142857,11147.619047619048,482.0590756130476,806.6096005001623
2016-07-01,9800.0,10000.0,9500.0,9700.0,8100,VND,500.0,100.0,10142.857142857143,10564.285714285714,11014.285714285714,427.61798705982216,803.2967784609232
2016-07-04,9500.0,10700.0,9500.0,9700.0,8900,VND,1200.0,-200.0,9971.42857142857,10435.714285714286,10890.47619047619,292.7700218844734,795.5531169599832
2016-07-05,9700.0,9700.0,9600.0,9600.0,8800,VND,100.0,100.0,9857.142857142857,10364.285714285714,10776.190476190477,250.71326821110006,800.5652764795287
2016-07-06,9800.0,9900.0,9500.0,9800.0,25700,VND,400.0,0.0,9857.142857142857,10264.285714285714,10680.952380952382,250.71326821110006,791.5927283768021
2016-07-07,9800.0,9900.0,9700.0,9700.0,6000,VND,200.0,100.0,9771.42857142857,10178.57142857143,10571.42857142857,160.3567451472904,758.3817357655963
2016-07-08,9800.0,9800.0,9500.0,9500.0,26200,VND,300.0,300.0,9685.714285714286,10092.857142857143,10457.142857142857,106.90449676471881,728.403341955135
2016-07-11,9600.0,9600.0,9300.0,9300.0,12200,VND,300.0,300.0,9614.285714285714,9971.42857142857,10342.857142857143,167.61634196934241,711.7383146714868
2016-07-12,9300.0,9300.0,8800.0,9000.0,13600,VND,500.0,300.0,9514.285714285714,9828.57142857143,10214.285714285714,279.4552524022086,698.058532134443
2016-07-13,8600.0,9100.0,8600.0,9100.0,13700,VND,500.0,-500.0,9428.57142857143,9700.0,10100.0,303.9423504233906,673.0527468185372
2016-07-14,9100.0,9200.0,9000.0,9000.0,15700,VND,200.0,100.0,9342.857142857143,9600.0,10023.809523809523,330.94381626456027,703.4946779505439
2016-07-15,9100.0,9100.0,8600.0,8600.0,4500,VND,500.0,500.0,9171.42857142857,9514.285714285714,9900.0,363.84193323597435,714.8426400264443
2016-07-18,8500.0,10000.0,8200.0,10000.0,30500,VND,1800.0,-1500.0,9214.285714285714,9492.857142857143,9857.142857142857,445.07891221128136,677.9169776391537
2016-07-19,9900.0,10500.0,9900.0,10300.0,30600,VND,600.0,-400.0,9328.57142857143,9507.142857142857,9838.095238095239,604.7431568147144,658.3890874522198
2016-07-20,10900.0,11700.0,10500.0,11700.0,32600,VND,1200.0,-800.0,9671.42857142857,9642.857142857143,9871.42857142857,1079.682493010899,733.5822088510827
2016-07-21,13000.0,13100.0,12000.0,12600.0,98600,VND,1100.0,400.0,10185.714285714286,9850.0,9947.619047619048,1487.0872776769093,916.8527949562158
2016-07-22,12800.0,12800.0,10900.0,11000.0,25800,VND,1900.0,1800.0,10457.142857142857,9942.857142857143,9952.380952380952,1428.1189759693561,922.2901103335245
2016-07-25,10900.0,11200.0,10300.0,10300.0,42700,VND,900.0,600.0,10642.857142857143,9992.857142857143,9947.619047619048,1284.3378875995854,920.1190399176753
